name,salary_from,salary_to,salary_currency,area_name,published_at
Тестировщик ПО / QA Engineer,40000,130000,RUR,Самара,2022-12-01T00:38:07+0300
Заместитель начальника управления информационной безопасности коммерческого банка,250000,270000,RUR,Москва,2022-12-01T01:11:43+0300
Контент-менеджер,25000,50000,RUR,Астана,2022-12-01T00:05:58+0300
Контент-менеджер,25000,50000,RUR,Алматы,2022-12-01T00:05:58+0300
Фрезеровщик,50000,,RUR,Владивосток,2022-12-01T01:58:56+0300
Электромеханик связи,69000,89000,RUR,Уссурийск,2022-12-01T01:56:10+0300
Фрезеровщик,50000,,RUR,Арсеньев,2022-12-01T01:58:56+0300
Токарь,50000,,RUR,Владивосток,2022-12-01T01:53:37+0300
Токарь,50000,,RUR,Уссурийск,2022-12-01T01:53:37+0300
Токарь,50000,,RUR,Арсеньев,2022-12-01T01:53:37+0300
Фрезеровщик,50000,,RUR,Уссурийск,2022-12-01T01:58:56+0300
Контент менеджер,25000,50000,RUR,Иваново (Ивановская область),2022-12-01T00:33:01+0300
Сигналист на участок Улак-Февральск,70000,70000,RUR,Зея,2022-12-01T01:56:10+0300
Контент менеджер,25000,50000,RUR,Бишкек,2022-12-01T00:05:58+0300
Веб-дизайнер,30000,100000,RUR,Уфа,2022-12-01T02:00:51+0300
Заместитель главного механика (Камчатский край),,350000,RUR,Красноярск,2022-12-01T03:15:50+0300
Оператор станка,50000,,RUR,Хабаровск,2022-12-01T03:52:31+0300
Электромеханик по ремонту и обслуживанию карьерных электрических экскаваторов (наладчик),220000,,RUR,Новосибирск,2022-12-01T03:27:51+0300
Эксперт по производству компьютерных экспертиз,45000,,RUR,Уфа,2022-12-01T04:37:18+0300
Специалист по сопровождению 1С/Стажер,23000,28000,RUR,Барнаул,2022-12-01T05:07:05+0300
Водитель,35000,,RUR,Комсомольск-на-Амуре,2022-12-01T04:47:05+0300
Инженер сервисного обслуживания сельскохозяйственной техники,50000,150000,RUR,Минусинск,2022-12-01T05:21:22+0300
1С разработчик,500000,700000,KZT,Алматы,2022-12-01T05:34:36+0300
Оператор электроэрозионного проволочно-вырезного станка,60000,60000,RUR,Новосибирск,2022-12-01T04:46:56+0300
Специалист технической поддержки,35000,55000,RUR,Владивосток,2022-12-01T05:07:00+0300
Радиомеханик по ремонту РЭО,40000,60000,RUR,Владивосток,2022-12-01T04:28:35+0300
Токарь-универсал,40000,,RUR,Новокузнецк,2022-12-01T05:22:49+0300
Механик холодильного цеха,,45000,RUR,Калачинск,2022-12-01T05:23:36+0300
Специалист технической поддержки,40000,40000,RUR,Красноярск,2022-12-01T05:18:30+0300
Фрезеровщик,40000,50000,RUR,Новокузнецк,2022-12-01T05:20:16+0300
Специалист по защите информации,34000,,RUR,Иркутск,2022-12-01T04:32:56+0300
"Механик, г. Улан-Удэ",40000,,RUR,Улан-Удэ,2022-12-01T05:24:10+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,,RUR,Дальнереченск,2022-12-01T04:33:15+0300
"Линейный механик (горное предприятие, механическая служба)",130000,,RUR,Чита,2022-12-01T04:52:36+0300
Токарь,40000,50000,RUR,Новокузнецк,2022-12-01T05:21:03+0300
Инсталлятор / Специалист по подключению абонентов / Монтажник интернет-сетей,54000,,RUR,Свободный,2022-12-01T04:32:26+0300
Инженер технической поддержки (сервисный инженер),220000,317000,KZT,Кокшетау,2022-12-01T07:19:58+0300
IT Support Engineer,,150000,KZT,Атырау,2022-12-01T07:50:45+0300
Инженер-электроник,75000,100000,RUR,Пермь,2022-12-01T07:24:15+0300
Сервисный инженер / техник,30000,50000,RUR,Ульяновск,2022-12-01T07:21:34+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Самара,2022-12-01T07:40:44+0300
Оператор станков с ЧПУ (резчик/закальщик/полировщик стекла),130000,400000,KZT,Астана,2022-12-01T07:42:14+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Санкт-Петербург,2022-12-01T07:40:30+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Уфа,2022-12-01T07:39:58+0300
Мастер по ремонту печатного оборудования,200000,,KZT,Астана,2022-12-01T07:52:32+0300
Токарь (Пермь),106000,126000,RUR,Тюмень,2022-12-01T07:39:10+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Екатеринбург,2022-12-01T07:41:22+0300
"Оператор станков с ЧПУ 3х, 5 осевой (стойка HEIDENHAIN)",80000,,RUR,Екатеринбург,2022-12-01T06:41:07+0300
Фрезеровщик (Пермь),106000,126000,RUR,Москва,2022-12-01T07:55:10+0300
Fullstack разработчик (C#),500000,1000000,KZT,Алматы,2022-12-01T06:19:55+0300
Токарь,50000,,RUR,Майкоп,2022-12-01T07:52:07+0300
Токарь (Пермь),106000,126000,RUR,Теплая Гора,2022-12-01T07:40:26+0300
Токарь (Пермь),106000,126000,RUR,Пашия,2022-12-01T07:40:26+0300
Оператор по компьютерной обработке,123000,125000,KZT,Караганда,2022-12-01T07:04:07+0300
Токарь (Пермь),106000,126000,RUR,Александровск (Пермский край),2022-12-01T07:40:26+0300
Аналитик,20000,25000,RUR,Пермь,2022-12-01T06:16:12+0300
Фрезеровщик (Пермь),106000,126000,RUR,Тюмень,2022-12-01T07:55:10+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Новосибирск,2022-12-01T07:41:09+0300
Токарь (Пермь),106000,126000,RUR,Оренбург,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Ростов-на-Дону,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Казань,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Уфа,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Кизел,2022-12-01T07:40:26+0300
Фрезеровщик (Пермь),106000,126000,RUR,Краснодар,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Пермь,2022-12-01T07:41:21+0300
Фрезеровщик (Пермь),106000,126000,RUR,Самара,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Самара,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Пермь,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Ульяновск,2022-12-01T07:55:10+0300
Сервисный инженер,180000,230000,KZT,Костанай,2022-12-01T07:57:56+0300
Фрезеровщик (Пермь),106000,126000,RUR,Верещагино,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Челябинск,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Нижний Новгород,2022-12-01T07:39:10+0300
Специалист чат-поддержки,33000,38000,RUR,Саранск,2022-12-01T06:43:48+0300
Токарь (Пермь),106000,126000,RUR,Владимир,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Уфа,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Очер,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Владимир,2022-12-01T07:55:10+0300
Техник ОПС,200000,200000,KZT,Астана,2022-12-01T06:49:03+0300
Механик (г. Североуральск),50000,,RUR,Краснотурьинск,2022-12-01T07:28:09+0300
Токарь (Пермь),106000,126000,RUR,Казань,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Ижевск,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Ульяновск,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Пенза,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Очер,2022-12-01T07:39:10+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),150000,,RUR,Казань,2022-12-01T07:40:56+0300
Фрезеровщик (Пермь),106000,126000,RUR,Пенза,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Краснокамск,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Челябинск,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Волгоград,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Волгоград,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Кострома,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Иркутск,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Ижевск,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Екатеринбург,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Саратов,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Иваново (Ивановская область),2022-12-01T07:39:10+0300
Механик ДСУ,47000,,RUR,Волчанск (Свердловская область),2022-12-01T07:27:03+0300
Токарь (Пермь),106000,126000,RUR,Калуга,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Краснодар,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Ростов-на-Дону,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Нижний Новгород,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Тверь,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Белгород,2022-12-01T07:55:10+0300
"Cпециалист по бизнес-анализу, планированию и отчетности",,70000,RUR,Екатеринбург,2022-12-01T07:10:19+0300
Токарь (Пермь),106000,126000,RUR,Белгород,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Брянск,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Омск,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Тула,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Томск,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Рязань,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Тверь,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Великий Новгород,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Оренбург,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Тамбов,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Пермь,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Саратов,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Киров (Кировская область),2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Орел,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Рязань,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Воронеж,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Великий Новгород,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Омск,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Орел,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Оса,2022-12-01T07:40:26+0300
Токарь (Пермь),106000,126000,RUR,Киров (Кировская область),2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Брянск,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Ярославль,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Смоленск,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Нытва,2022-12-01T07:40:26+0300
Токарь (Пермь),106000,126000,RUR,Воронеж,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Псков,2022-12-01T07:39:10+0300
Go разработчик со знаниями Python,,1000000,KZT,Алматы,2022-12-01T06:20:19+0300
Токарь (Пермь),106000,126000,RUR,Тула,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Кемерово,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Добрянка,2022-12-01T07:40:26+0300
Оператор станков с программным управлением,,51000,RUR,Челябинск,2022-12-01T07:47:16+0300
Токарь (Пермь),106000,126000,RUR,Ярославль,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Калуга,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Санкт-Петербург,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Вологда,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Верещагино,2022-12-01T07:40:26+0300
Токарь (Пермь),106000,126000,RUR,Москва,2022-12-01T07:39:10+0300
Оператор станков с программным управлением,60000,,RUR,Тюмень,2022-12-01T07:28:33+0300
Фрезеровщик (Пермь),106000,126000,RUR,Екатеринбург,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Томск,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Липецк,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Краснокамск,2022-12-01T07:39:10+0300
Программист 1С,100000,,RUR,Томск,2022-12-01T07:35:32+0300
Фрезеровщик (Пермь),106000,126000,RUR,Санкт-Петербург,2022-12-01T07:55:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Липецк,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Йошкар-Ола,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Соликамск,2022-12-01T07:55:10+0300
Механик гаража,19000,,RUR,Искитим,2022-12-01T06:23:39+0300
Токарь (Пермь),106000,126000,RUR,Чайковский,2022-12-01T07:39:10+0300
Токарь,,60829,RUR,Ачинск,2022-12-01T07:12:16+0300
Токарь (Пермь),106000,126000,RUR,Соликамск,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Чернушка,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Чернушка,2022-12-01T07:39:10+0300
Фрезеровщик (Пермь),106000,126000,RUR,Лысьва,2022-12-01T07:55:10+0300
Токарь (Пермь),106000,126000,RUR,Лысьва,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Кунгур,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Губаха,2022-12-01T07:40:26+0300
Токарь (Пермь),106000,126000,RUR,Березники,2022-12-01T07:39:10+0300
Токарь (Пермь),106000,126000,RUR,Чусовой,2022-12-01T07:40:26+0300
Фрезеровщик (Пермь),106000,126000,RUR,Чайковский,2022-12-01T07:55:10+0300
Заместитель начальника информатизации,35000,35000,RUR,Кемерово,2022-12-01T06:19:46+0300
Механик ДСУ,47000,,RUR,Карпинск,2022-12-01T07:26:56+0300
Механик ДСУ,47000,,RUR,Североуральск,2022-12-01T07:26:59+0300
Начальник отдела развития территорий,32000,36000,RUR,Самара,2022-12-01T07:57:04+0300
Машинист холодильных установок Инженер по ремонту холодильной техники,31000,31000,RUR,Омск,2022-12-01T06:56:15+0300
Product Analyst (ITSM),120000,,RUR,Челябинск,2022-12-01T06:08:03+0300
Токарь,45000,52000,RUR,Саратов,2022-12-01T07:32:45+0300
Оператор станков с числовым программным управлением (4-5 разряд),,57000,RUR,Челябинск,2022-12-01T07:34:20+0300
Наладчик станков с ЧПУ 4-6 разряда (механическая обработка крупногабаритных деталей),,100000,RUR,Челябинск,2022-12-01T07:31:57+0300
Брокер по недвижимости,400000,900000,RUR,Сириус,2022-12-01T07:06:26+0300
Токарь (Пермь),106000,126000,RUR,Донецк,2022-12-01T07:39:10+0300
Токарь 6 разряда,150000,,RUR,Челябинск,2022-12-01T06:31:27+0300
Фрезеровщик (Пермь),106000,126000,RUR,Донецк,2022-12-01T07:55:10+0300
Токарь 6 разряда,150000,,RUR,Самара,2022-12-01T06:31:27+0300
Механик автоколонны,54574,54574,RUR,Нижневартовск,2022-12-01T07:23:55+0300
Специалист,52000,,RUR,Оренбург,2022-12-01T09:12:50+0300
Специалист по качеству,45000,50000,RUR,Красноярск,2022-12-01T08:34:28+0300
Руководитель проекта,120000,,RUR,Уфа,2022-12-01T08:25:19+0300
Backend разработчик (удаленно),50000,100000,RUR,Алматы,2022-12-01T08:19:37+0300
Программист-стажер 1С,200,,USD,Ташкент,2022-12-01T09:01:24+0300
Системный администратор,5000000,7000000,UZS,Ташкент,2022-12-01T09:11:34+0300
Web-программист / web-разработчик,70000,,RUR,Уфа,2022-12-01T09:51:51+0300
Оператор станков с ЧПУ,40000,45000,RUR,Тольятти,2022-12-01T08:58:59+0300
Инженер-программист,60000,,RUR,Иваново (Ивановская область),2022-12-01T09:17:12+0300
Программист-стажер 1C,10000,40000,RUR,Кострома,2022-12-01T09:21:31+0300
Механик,250000,,RUR,Красноярск,2022-12-01T08:56:17+0300
Техник-наладчик оборудования с ЧПУ/Ученик,70000,,RUR,Пенза,2022-12-01T09:22:44+0300
Заведующий автохозяйством,50000,70000,RUR,Иваново (Ивановская область),2022-12-01T08:46:32+0300
Начинающий программист 1С,30000,50000,RUR,Челябинск,2022-12-01T08:07:19+0300
Программист-разработчик 1 С,50000,50000,RUR,Оренбург,2022-12-01T09:03:39+0300
Наладчик станков с ЧПУ,60000,70000,RUR,Тольятти,2022-12-01T08:50:45+0300
Компьютерный мастер,72000,,RUR,Новосибирск,2022-12-01T08:40:41+0300
Backend – JavaScript -разработчик,650000,,KZT,Караганда,2022-12-01T08:01:11+0300
Копирайтер,25000,,RUR,Смоленск,2022-12-01T09:47:06+0300
Механик по транспорту,80000,,RUR,Томск,2022-12-01T09:55:43+0300
Механик по специализированной технике,148000,165000,RUR,Благовещенск (Амурская область),2022-12-01T08:39:11+0300
Токарь,50000,55000,RUR,Тольятти,2022-12-01T09:06:48+0300
Программист 1 категории,100000,,RUR,Тверь,2022-12-01T09:16:06+0300
Специалист по ТЗИ и компьютерной безопасности,80000,,RUR,Москва,2022-12-01T09:10:04+0300
Тьютор (Преподаватель) программирования для детей,24000,68000,RUR,Иркутск,2022-12-01T08:13:55+0300
Инженер - системотехник (Help desk),200000,250000,KZT,Алматы,2022-12-01T09:17:40+0300
Литературный редактор,850,,BYR,Минск,2022-12-01T09:54:13+0300
Инженер-механик,40000,,RUR,Нижний Новгород,2022-12-01T08:49:45+0300
Электромеханик,180000,300000,KZT,Караганда,2022-12-01T09:54:55+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Иркутск,2022-12-01T08:26:45+0300
Наладчик-оператор станков с ЧПУ,1600,3500,BYR,Минск,2022-12-01T09:29:52+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Москва,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Пермь,2022-12-01T08:28:10+0300
Kubernetes DevOps Engineer,3000,5000,EUR,Москва,2022-12-01T09:38:09+0300
Механик по специализированной технике,148000,165000,RUR,Новосибирск,2022-12-01T08:39:11+0300
Проджект менеджер / категорийный менеджер / бренд менеджер,120000,,RUR,Москва,2022-12-01T09:06:53+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Краснодар,2022-12-01T08:26:45+0300
Инженер отдела технической поддержки и программного обеспечения,43000,,RUR,Оренбург,2022-12-01T08:01:23+0300
"Токарь, город Калуга",94000,110000,RUR,Калуга,2022-12-01T09:50:32+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Уфа,2022-12-01T08:26:45+0300
Токарь-карусельщик,130000,,RUR,Магнитогорск,2022-12-01T09:30:51+0300
Инженер Центра Управления магистральная сеть,,58000,RUR,Ярославль,2022-12-01T08:40:31+0300
Программист Delphi,60000,,RUR,Иваново (Ивановская область),2022-12-01T09:17:00+0300
Специалист по технической поддержке,60000,200000,KZT,Алматы,2022-12-01T09:52:15+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Ульяновск,2022-12-01T08:26:45+0300
Токарь,57000,97000,RUR,Набережные Челны,2022-12-01T09:26:32+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Челябинск,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Самара,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Тюмень,2022-12-01T08:26:45+0300
Технический специалист (IT),200000,300000,KZT,Алматы,2022-12-01T08:57:21+0300
Оператор станков с ЧПУ,114000,,RUR,Ростов-на-Дону,2022-12-01T08:33:44+0300
Системный администратор (Академгородок),40000,,RUR,Бердск,2022-12-01T08:09:58+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Владимир,2022-12-01T08:26:45+0300
"Full-stack developer / Middle (Php, Python, Laravel)",150000,200000,RUR,Казань,2022-12-01T09:42:50+0300
Инженер группы технической поддержки,,40000,RUR,Ярославль,2022-12-01T08:40:56+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Ижевск,2022-12-01T08:26:45+0300
Токарь,1500,,BYR,Минск,2022-12-01T08:49:14+0300
Мастер СТО,60000,,RUR,Омск,2022-12-01T08:47:46+0300
Инженер-программист,40000,65000,RUR,Екатеринбург,2022-12-01T08:13:00+0300
Токарь-универсал,120000,,RUR,Пенза,2022-12-01T08:40:29+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Пермь,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Ростов-на-Дону,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Екатеринбург,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Омск,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Волгоград,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Саратов,2022-12-01T08:26:45+0300
Системный администратор,,150000,KZT,Актау,2022-12-01T09:25:28+0300
Инженер-программист,53000,,RUR,Уссурийск,2022-12-01T08:21:18+0300
Оператор станков с ПУ,115000,,RUR,Ульяновск,2022-12-01T08:53:22+0300
Оператор станков с ЧПУ,,120000,RUR,Чебоксары,2022-12-01T09:46:18+0300
Шлифовщик,100000,,RUR,Нижний Тагил,2022-12-01T08:33:07+0300
Java-разработчик (Strong Middle/Senior),,25000000,UZS,Ташкент,2022-12-01T09:51:02+0300
Программист 1С,60000,,RUR,Москва,2022-12-01T09:09:39+0300
Токарь,57000,97000,RUR,Стерлитамак,2022-12-01T09:26:32+0300
Токарь-карусельщик,130000,,RUR,Тюмень,2022-12-01T09:31:27+0300
Механик по специализированной технике,148000,165000,RUR,Норильск,2022-12-01T08:39:11+0300
Программист (системный администратор),16512,20500,RUR,Курск,2022-12-01T08:34:17+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Нижний Новгород,2022-12-01T08:26:45+0300
Сверловщик,94000,,RUR,Нижний Тагил,2022-12-01T08:31:16+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Казань,2022-12-01T08:26:45+0300
Токарь-карусельщик,130000,,RUR,Курган,2022-12-01T09:30:25+0300
Программист,60000,,RUR,Архангельск,2022-12-01T08:41:45+0300
Электрик-механик,80000,,RUR,Мытищи,2022-12-01T08:44:28+0300
Специалист по ремонту оргтехники,,46000,RUR,Курск,2022-12-01T09:20:28+0300
Токарь (6 разряд),,57570,RUR,Кемерово,2022-12-01T09:36:12+0300
Токарь,70000,,RUR,Старый Оскол,2022-12-01T08:41:31+0300
Механик по специализированной технике,148000,165000,RUR,Иркутск,2022-12-01T08:39:11+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Нытва,2022-12-01T08:26:45+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Воронеж,2022-12-01T08:26:45+0300
Оператор (наладчик) ЧПУ Токарная группа,,110000,RUR,Волгоград,2022-12-01T09:07:00+0300
Токарь-фрезеровщик,124000,,RUR,Калуга,2022-12-01T08:37:01+0300
Ведущий инженер КИП и А,,75000,RUR,Новосибирск,2022-12-01T08:33:29+0300
Токарь-расточник,134000,,RUR,Калуга,2022-12-01T08:36:57+0300
Заведующий отделом информационных технологий,30000,40000,RUR,Ульяновск,2022-12-01T09:40:36+0300
Оператор (наладчик) ЧПУ Токарная группа,,110000,RUR,Рязань,2022-12-01T09:07:10+0300
Токарь-универсал,85000,,RUR,Челябинск,2022-12-01T08:05:59+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Ярославль,2022-12-01T08:26:45+0300
Оператор (наладчик) ЧПУ Токарная группа,,110000,RUR,Казань,2022-12-01T09:07:06+0300
Специалист по повышению осведомленности об информационной безопасности (Практикант),48000,,RUR,Москва,2022-12-01T09:07:48+0300
Оператор гибочного пресса/гильотина,75000,,RUR,Люберцы,2022-12-01T09:32:50+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Санкт-Петербург,2022-12-01T08:26:45+0300
Фрезеровщик,85000,,RUR,Ростов-на-Дону,2022-12-01T08:32:00+0300
Токарь,86000,,RUR,Ростов-на-Дону,2022-12-01T08:32:42+0300
Инженер 1 категории / Слаботочник,85000,,RUR,Москва,2022-12-01T09:19:39+0300
Токарь,91500,,RUR,Нижний Тагил,2022-12-01T08:29:50+0300
Python developer,,250000,RUR,Москва,2022-12-01T09:34:27+0300
Оператор (наладчик) ЧПУ Токарная группа,,110000,RUR,Ярославль,2022-12-01T09:07:20+0300
Специалист инспекционного контроля,40000,60000,RUR,Набережные Челны,2022-12-01T09:55:57+0300
Оператор станков с ЧПУ,106000,,RUR,Нижний Тагил,2022-12-01T08:30:15+0300
Оператор плазменной резки,50000,,RUR,Топки,2022-12-01T08:44:19+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Лысьва,2022-12-01T08:26:45+0300
Шлифовщик,70000,,RUR,Новосибирск,2022-12-01T09:15:25+0300
Программист 1С (удалённо),,150000,RUR,Новосибирск,2022-12-01T08:04:26+0300
Оператор (наладчик) ЧПУ Токарная группа,,110000,RUR,Брянск,2022-12-01T09:07:16+0300
Специалист по сопровождению СБИС,30000,45000,RUR,Барнаул,2022-12-01T08:28:53+0300
Аналитик отдела прогнозирования продаж,80000,,RUR,Москва,2022-12-01T09:15:29+0300
Инженер Диспетчерской Группы Центра управления,,46000,RUR,Ярославль,2022-12-01T08:40:26+0300
Инженер сервисного центра,40000,,RUR,Омск,2022-12-01T08:00:06+0300
Технический специалист в тендерный отдел,35000,,RUR,Уфа,2022-12-01T09:45:43+0300
Наладчик технологического оборудования,50000,80000,RUR,Кстово,2022-12-01T09:48:07+0300
Мастер сетевого района № 1 (звено по строительству и капитальному ремонту высоковольтных линий),29000,36000,RUR,Заинск,2022-12-01T08:24:03+0300
Токарь-расточник (г.Пермь),112000,140000,RUR,Чайковский,2022-12-01T08:26:45+0300
Программист,60000,,RUR,Новодвинск,2022-12-01T08:41:45+0300
Инженер по АСУП,1500,,BYR,Пинск,2022-12-01T08:58:32+0300
Мастер сетевого района № 1 (звено по строительству и капитальному ремонту высоковольтных линий),29000,36000,RUR,Альметьевск,2022-12-01T08:24:03+0300
Ведущий программист,120000,,RUR,Тверь,2022-12-01T09:21:02+0300
Инженер по АСУП/Системный аналитик,40000,55000,RUR,Екатеринбург,2022-12-01T08:12:22+0300
Механик по выпуску,40000,,RUR,Биробиджан,2022-12-01T09:01:59+0300
Программист 1С,100000,,RUR,Челябинск,2022-12-01T08:19:21+0300
Консультант по внедрению информационных систем (аналитик по внедрению),150000,,RUR,Иркутск,2022-12-01T09:33:27+0300
Электромеханик,,38000,RUR,Ярославль,2022-12-01T09:14:40+0300
Программист 1C (удаленно),150000,171000,RUR,Хабаровск,2022-12-01T08:50:00+0300
