name,salary_from,salary_to,salary_currency,area_name,published_at
IT-специалист,40000,,RUR,Брянск,2022-12-01T18:05:53+0300
Специалист технической поддержки (Якутия),100000,,RUR,Иркутск,2022-12-01T18:11:33+0300
Наладчик технологического оборудования,45000,,RUR,Великий Новгород,2022-12-01T18:15:08+0300
Специалист технической поддержки (в Ленинградской области),100000,,RUR,Санкт-Петербург,2022-12-01T18:14:17+0300
Специалист технической поддержки (Якутия),100000,,RUR,Якутск,2022-12-01T18:11:33+0300
Менеджер по работе с проектными организациями,100000,200000,RUR,Москва,2022-12-01T18:03:43+0300
Специалист технической поддержки (Якутия),100000,,RUR,Стерлитамак,2022-12-01T18:11:33+0300
UX-писатель,70000,,RUR,Йошкар-Ола,2022-12-01T19:21:35+0300
Токарь-расточник,100000,130000,RUR,Санкт-Петербург,2022-12-01T18:24:51+0300
Механик-наладчик,60000,,RUR,Пенза,2022-12-01T18:44:11+0300
Токарь-расточник,50000,,RUR,Рязань,2022-12-01T18:43:53+0300
Технический специалист,52000,70000,RUR,Костомукша,2022-12-01T18:43:53+0300
Механик (складской техники) на склад Домодедово,55000,,RUR,Подольск (Московская область),2022-12-01T18:01:30+0300
Оператор-наладчик (программист) токарных станков с ЧПУ,50000,90000,RUR,Санкт-Петербург,2022-12-01T18:32:37+0300
Дизайнер интерьеров,100000,150000,RUR,Новосибирск,2022-12-01T18:00:33+0300
Монтажник связи интернет сетей,40000,,RUR,Пятигорск,2022-12-01T19:35:27+0300
Монтажник,35000,,RUR,Камышин,2022-12-01T19:48:56+0300
Маркетолог-аналитик,40000,,RUR,Нижний Новгород,2022-12-01T19:20:20+0300
Оператор кромкооблицовочного станка,50000,,RUR,Уфа,2022-12-01T19:48:32+0300
Principal Engineer FPGA,300000,,RUR,Москва,2022-12-01T18:29:19+0300
Principal Engineer FPGA,300000,,RUR,Нижний Новгород,2022-12-01T18:30:38+0300
DevOps-инженер,100000,180000,RUR,Санкт-Петербург,2022-12-01T18:00:14+0300
Техник-механик,50000,60000,RUR,Москва,2022-12-01T19:18:48+0300
Backend - разработчик PHP / Middle FullStack,,8000,BYR,Минск,2022-12-01T18:38:15+0300
Ведущий php-программист,100000,,RUR,Тула,2022-12-01T19:30:49+0300
"Менеджер wildberries, удаленно",15000,40000,RUR,Москва,2022-12-01T20:49:33+0300
Junior разработчик голосовых и чат ботов,25000,35000,RUR,Екатеринбург,2022-12-01T21:21:06+0300
Станочник широкого профиля (Оператор станка с ЧПУ),50000,,RUR,Липецк,2022-12-01T20:36:57+0300
Наладчик пакетоделательного оборудования,60000,,RUR,Москва,2022-12-01T20:24:05+0300
Дежурный системный администратор,18000,35000,RUR,Самара,2022-12-01T20:23:54+0300
Unity 3D C# developer,100000,150000,RUR,Казань,2022-12-01T21:11:57+0300
Разработчик backend (Python),160000,200000,RUR,Санкт-Петербург,2022-12-01T20:40:54+0300
Middle React developer (HighLoad DSP/SSP),250000,300000,RUR,Москва,2022-12-01T20:24:04+0300
Инженер по технической защите информации,44000,,RUR,Санкт-Петербург,2022-12-01T21:05:14+0300
IOS разработчик (Objective-C),,7000,USD,Москва,2022-12-01T20:42:59+0300
Системный аналитик (VR направление),70000,140000,RUR,Казань,2022-12-01T21:07:47+0300
Монтажник,60000,90000,RUR,Ногинск,2022-12-01T20:02:15+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Батайск,2022-12-01T21:02:20+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Кисловодск,2022-12-01T21:02:20+0300
Механик,45000,,RUR,Санкт-Петербург,2022-12-01T21:05:15+0300
Организатор образовательного процесса в онлайн-школе,50000,80000,RUR,Москва,2022-12-01T20:39:34+0300
Reklam dİzaynerİ,300,500,AZN,Баку,2022-12-01T20:21:01+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Орехово-Зуево,2022-12-01T21:02:20+0300
Контент-менеджер,50000,,RUR,Краснодар,2022-12-01T20:23:53+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Артем,2022-12-01T21:28:37+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Уссурийск,2022-12-01T21:02:20+0300
